accx,accy,accz
0.9856,0.0778,-0.1736
0.9836,0.0778,-0.1834
0.9836,0.0778,-0.1834
0.9816,0.0797,-0.1776
0.9816,0.0797,-0.1716
0.9778,0.0855,-0.1795
0.9816,0.0797,-0.1795
0.9816,0.0797,-0.1795
0.9797,0.0855,-0.1756
0.9797,0.0778,-0.1716
0.9778,0.0816,-0.1756
0.9797,0.0758,-0.1756
0.9778,0.0797,-0.1697
0.9797,0.0758,-0.1678
0.9816,0.0758,-0.1776
0.9816,0.0718,-0.1776
0.9836,0.0758,-0.1716
0.9797,0.0797,-0.1756
0.9797,0.0778,-0.1776
0.9816,0.0778,-0.1756
0.9758,0.0797,-0.1814
0.9758,0.0797,-0.1814
0.9816,0.0816,-0.1776
0.9856,0.0778,-0.1736
0.9778,0.0758,-0.1795
0.9816,0.0797,-0.1776
0.9816,0.0797,-0.1756
0.9816,0.0797,-0.1756
0.9758,0.0718,-0.1834
0.9797,0.0778,-0.1756
0.9816,0.0778,-0.1776
0.9778,0.0816,-0.1756
0.9778,0.0816,-0.1756
0.9816,0.0718,-0.1795
0.9797,0.0778,-0.1756
0.9797,0.0758,-0.1795
0.9778,0.0778,-0.1756
0.9797,0.0797,-0.1736
0.9816,0.0816,-0.1736
0.9778,0.0816,-0.1756
0.9797,0.0778,-0.1736
0.9836,0.0758,-0.1736
0.9836,0.0778,-0.1716
0.9816,0.0778,-0.1756
0.9836,0.0778,-0.1756
0.9836,0.0778,-0.1776
0.9778,0.0778,-0.1814
0.9797,0.0739,-0.1776
0.9797,0.0718,-0.1716
0.9797,0.0778,-0.1697
0.9758,0.0816,-0.1736
0.9816,0.0739,-0.1697
0.9836,0.0778,-0.1736
0.9856,0.0836,-0.1756
0.9836,0.0797,-0.1776
0.9816,0.0797,-0.1776
0.9816,0.0778,-0.1756
0.9797,0.0758,-0.1795
0.9797,0.0758,-0.1776
0.9797,0.0739,-0.1776
0.9816,0.0797,-0.1776
0.9816,0.0797,-0.1776
0.9797,0.0778,-0.1756
0.9778,0.0758,-0.1795
0.9816,0.0778,-0.1756
0.9836,0.0816,-0.1776
0.9836,0.0816,-0.1776
0.9816,0.0797,-0.1736
0.9816,0.0758,-0.1814
0.9836,0.0778,-0.1756
0.9778,0.0797,-0.1795
0.9797,0.0797,-0.1678
0.9778,0.0778,-0.1776
0.9816,0.0855,-0.1834
0.9778,0.0797,-0.1776
0.9758,0.0797,-0.1814
0.9836,0.0778,-0.1795
0.9836,0.0778,-0.1795
0.9797,0.0758,-0.1795
0.9797,0.0758,-0.1795
0.9836,0.0758,-0.1736
0.9778,0.0797,-0.1776
0.9758,0.0797,-0.1756
0.9816,0.0778,-0.1814
0.9797,0.0797,-0.1756
0.9797,0.0758,-0.1795
0.9797,0.0758,-0.1795
0.9797,0.0758,-0.1756
0.9816,0.0739,-0.1795
0.9836,0.0758,-0.1756
0.9836,0.0758,-0.1776
0.9816,0.0758,-0.1834
0.9797,0.0778,-0.1776
0.9778,0.0718,-0.1756
0.9797,0.0778,-0.1756
0.9836,0.0739,-0.1776
0.9739,0.0816,-0.1756
0.9778,0.0758,-0.1795
0.9797,0.0778,-0.1814
0.9797,0.0739,-0.1795
0.9797,0.0739,-0.1795
0.9778,0.0699,-0.1814
0.9836,0.0758,-0.1795
0.9816,0.0797,-0.1814
0.9797,0.0739,-0.1853
0.9758,0.0739,-0.1834
0.9758,0.0718,-0.1834
0.9836,0.0739,-0.1795
0.9778,0.068,-0.1834
0.9778,0.068,-0.1834
0.9778,0.0718,-0.1814
0.9797,0.0758,-0.1776
0.9816,0.0739,-0.1795
0.9816,0.0797,-0.1756
0.9797,0.0739,-0.1795
0.9797,0.0797,-0.1814
0.9797,0.0797,-0.1814
0.9816,0.0739,-0.1834
0.9778,0.0758,-0.1756
0.9739,0.0758,-0.1795
0.9856,0.0758,-0.1776
0.9797,0.0778,-0.1814
0.9816,0.0739,-0.1853
0.9778,0.0758,-0.1736
0.9758,0.0758,-0.1776
0.9856,0.0758,-0.1756
0.9856,0.0758,-0.1756
0.9797,0.0699,-0.1814
0.9816,0.0718,-0.1814
0.9836,0.0739,-0.1795
0.9836,0.0718,-0.1814
0.9836,0.0718,-0.1814
0.9816,0.0739,-0.1776
0.9836,0.0739,-0.1756
0.9739,0.0739,-0.1795
