accx,accy,accz
0.8195,-0.096,-0.0915
0.7003,-0.096,-0.0915
0.6378,-0.0844,-0.0877
0.7531,0.0269,-0.1071
0.7941,0.0171,-0.1169
0.7804,-0.0296,-0.1599
0.6905,-0.1058,-0.2303
0.5929,-0.2367,-0.3553
0.7667,-0.2895,-0.3182
0.9348,-0.0687,-0.1599
0.9758,0.0739,-0.0701
0.8781,0.1403,-0.033
0.7745,0.0269,-0.0701
0.8742,-0.0844,-0.2733
1.2571,-0.1468,-0.3612
1.5072,-0.0101,-0.2557
1.6753,0.2849,-0.5644
1.9294,0.0914,-0.0584
2.0876,0.1754,0.1252
1.2787,0.0914,-0.2752
0.9211,-0.0042,-0.4179
0.9426,-0.1762,-0.4042
0.9641,-0.143,-0.3026
0.837,-0.0902,-0.2244
0.837,-0.0902,-0.2244
0.7823,-0.1312,-0.199
0.7257,-0.1703,-0.2361
0.7706,-0.0453,-0.2284
0.8664,0.0816,-0.1229
0.8684,0.0816,-0.1169
0.8664,0.0953,-0.0954
0.7706,0.0464,-0.1716
0.7531,-0.0238,-0.2303
0.8156,-0.0921,-0.2342
0.839,-0.1,-0.2303
0.9485,-0.0355,-0.1932
0.8781,0.0328,-0.2126
0.6632,0.068,-0.1853
0.5771,0.0464,-0.1678
0.5929,-0.0218,-0.2088
0.837,-0.1801,-0.3221
0.8684,-0.1508,-0.3104
0.8293,-0.0941,-0.2538
0.8253,0.0523,-0.1208
0.8253,0.0523,-0.1208
1.0813,0.2126,0.1526
1.4331,0.4334,0.3812
1.8532,0.6249,0.4438
1.6793,0.2164,0.2347
1.222,-0.4986,-0.4354
1.3451,-0.6373,-0.4999
1.4799,-0.4908,-0.5957
1.4194,-0.1626,-0.2987
1.3588,-0.1391,-0.1853
1.179,-0.2309,-0.2126
0.9797,-0.184,-0.201
0.8801,-0.141,-0.1716
0.7999,-0.0394,-0.0525
0.8332,-0.0023,-0.0368
0.9015,0.0015,-0.033
0.8723,-0.0511,-0.0544
0.8507,-0.096,-0.0798
0.8468,-0.1176,-0.0642
0.837,-0.143,-0.0838
0.8136,-0.1645,-0.1287
0.7492,-0.1782,-0.1658
0.6886,-0.1332,-0.1736
0.7198,-0.0336,-0.1658
0.7804,-0.0159,-0.1697
0.712,-0.1195,-0.203
0.6299,-0.1488,-0.1639
0.5967,-0.1645,-0.1716
0.9075,-0.266,-0.2498
1.0207,-0.2758,-0.2615
1.0833,-0.2485,-0.2401
0.9778,-0.1762,-0.1795
0.6924,-0.0629,-0.2244
0.9231,-0.0316,-0.3436
0.9699,-0.0159,-0.3651
1.2885,0.0953,-0.2811
1.8258,0.3591,-0.1678
1.6031,0.2048,-0.2771
1.5757,-0.143,-0.2186
1.3119,-0.2485,-0.369
1.0715,-0.2015,-0.4706
1.0168,-0.1468,-0.4061
