accx,accy,accz
0.9836,-0.1957,-0.5859
0.9152,-0.1039,-0.5449
0.8723,0.0464,-0.4569
0.8136,0.0895,-0.3963
0.6534,0.0699,-0.3632
0.6183,0.0562,-0.373
0.5889,0.0464,-0.3847
0.5733,0.0171,-0.3514
0.5635,-0.0355,-0.2869
0.5694,-0.0453,-0.3905
0.5694,-0.0453,-0.3905
0.6085,-0.0316,-0.3768
0.6632,-0.0003,-0.3651
0.7999,0.0015,-0.2674
0.9426,0.0289,-0.3632
0.9856,0.0015,-0.3612
0.9641,-0.0355,-0.3924
0.7902,-0.0863,-0.3788
0.7315,-0.1391,-0.3612
0.7902,-0.225,-0.3847
0.9094,-0.1391,-0.5175
1.1712,-0.0433,-0.4667
1.5835,0.0348,-0.4277
1.2259,0.1735,-0.2615
0.966,0.0562,-0.1834
1.1419,-0.0433,-0.2088
1.4702,-0.0823,-0.2401
1.7046,-0.0921,-0.3397
1.0188,-0.2055,-0.3886
0.7862,-0.2015,-0.328
0.837,-0.1371,-0.2967
0.9171,-0.0844,-0.2869
0.9406,0.025,-0.1795
0.9387,-0.0727,-0.2674
0.9387,-0.0727,-0.2674
0.9523,-0.0844,-0.2596
0.9523,-0.0727,-0.2166
0.8996,-0.0687,-0.1756
0.8312,-0.1097,-0.1423
0.841,-0.141,-0.1716
0.8156,-0.1528,-0.1893
0.8351,-0.1918,-0.2557
0.9211,-0.1801,-0.2479
0.8058,-0.0863,-0.2361
0.8058,-0.0863,-0.2361
0.7374,-0.0413,-0.1912
0.7394,0.0171,-0.244
0.8644,-0.0394,-0.1932
0.9406,-0.0844,-0.3104
0.9269,-0.1214,-0.3378
0.7511,-0.2367,-0.3104
0.7355,-0.2329,-0.2538
0.8039,-0.0746,-0.3299
0.9426,0.0406,-0.2869
0.9758,0.1032,-0.4569
1.1947,0.0152,-0.4315
1.2845,-0.0511,-0.4335
1.2729,-0.0336,-0.496
1.2611,0.0641,-0.4159
1.2533,0.0816,-0.4335
1.3139,0.2595,-0.5742
1.4545,0.1676,-0.5566
1.222,0.1207,-0.582
0.9367,0.0073,-0.4902
0.7785,-0.0394,-0.4217
0.7452,-0.0473,-0.4257
0.7725,-0.0648,-0.4511
0.7862,-0.0687,-0.4687
0.7804,-0.0023,-0.4823
0.7492,0.0601,-0.4433
0.6866,0.0543,-0.4042
0.6221,0.0211,-0.3807
0.5576,-0.0433,-0.3866
0.5459,-0.1097,-0.367
0.542,-0.0609,-0.4238
0.5792,0.025,-0.455
0.6534,0.107,-0.4217
0.7629,0.1696,-0.4179
0.8507,0.0015,-0.2831
0.7843,-0.0453,-0.3221
0.8039,-0.141,-0.2929
0.8156,-0.1351,-0.3436
0.7902,-0.1899,-0.3905
0.8019,-0.1879,-0.455
0.8527,-0.2426,-0.4217
0.9015,-0.1996,-0.5449
1.4839,0.0718,-0.3339
1.5952,0.195,-0.1013
1.3158,0.2224,-0.1521
1.0715,0.0992,-0.1872
1.1927,-0.1137,-0.2869
1.5366,-0.3149,-0.3553
0.9914,-0.3071,-0.4511
0.9054,-0.313,-0.4315
0.9993,-0.2192,-0.3905
0.9758,-0.0296,-0.2752
1.0305,0.0523,-0.2068
0.8996,-0.1312,-0.2126
0.8996,-0.1312,-0.2126
0.843,-0.2231,-0.2538
0.8156,-0.1782,-0.2557
0.8078,-0.1195,-0.2244
0.8058,-0.1176,-0.197
0.7941,-0.1449,-0.2538
0.9152,-0.1586,-0.2596
0.9543,-0.1528,-0.2557
0.8957,-0.1664,-0.2381
0.7804,-0.1801,-0.2166
0.6299,-0.055,-0.1893
0.6299,-0.055,-0.1893
0.7315,-0.0511,-0.2088
0.8547,-0.0844,-0.197
0.9133,-0.1273,-0.2517
0.8586,-0.143,-0.2635
0.7862,-0.1801,-0.2517
0.6847,-0.1293,-0.3006
0.6241,-0.0394,-0.2908
0.6866,0.1481,-0.3182
1.009,0.1559,-0.3299
1.4057,-0.0785,-0.5195
1.5249,-0.1351,-0.6465
1.5268,0.066,-0.6387
1.605,0.1735,-0.5605
1.177,0.1617,-0.537
1.0852,0.1305,-0.537
0.8449,0.0543,-0.5703
0.7629,-0.0003,-0.5663
0.8019,-0.1097,-0.5449
0.8917,-0.1117,-0.5116
0.8917,-0.1117,-0.5116
0.8332,-0.0569,-0.4531
0.6553,0.0406,-0.373
0.5967,-0.0179,-0.3319
0.5967,-0.0179,-0.3319
0.5929,-0.0199,-0.3397
0.6241,0.0015,-0.4277
0.6749,0.0191,-0.4785
0.7238,-0.0804,-0.4667
0.7238,-0.0804,-0.4667
0.7159,-0.0883,-0.4725
0.9308,-0.0609,-0.4217
1.0989,0.068,-0.4511
1.0989,0.068,-0.4511
0.9836,0.0621,-0.4471
0.8742,0.0152,-0.5312
0.7081,-0.1449,-0.713
1.0051,-0.1078,-0.1326
1.1145,-0.0706,-0.0975
1.2084,-0.0257,-0.074
1.4135,0.1989,0.1369
1.0989,0.1363,0.0647
1.0422,-0.0921,-0.0954
1.4936,-0.0394,-0.2498
1.7417,-0.0453,-0.3319
1.3763,-0.0082,-0.3221
1.1576,0.0073,-0.1697
1.0598,0.0523,-0.2147
0.9367,-0.0394,-0.2342
0.839,-0.0804,-0.2342
0.7569,-0.1039,-0.1834
0.7394,-0.1351,-0.1736
0.7629,-0.1859,-0.2342
0.7687,-0.1312,-0.2517
0.7648,-0.1176,-0.2538
0.8019,-0.1019,-0.2126
0.8273,-0.1137,-0.2498
0.8703,-0.1351,-0.2948
0.968,-0.1332,-0.3124
0.966,-0.1332,-0.2674
0.9621,-0.182,-0.1776
0.9583,-0.311,-0.3065
0.9504,-0.2172,-0.2733
0.9504,-0.2172,-0.2733
1.0657,-0.0492,-0.156
1.2396,0.0328,-0.158
1.1282,-0.1703,-0.2342
1.054,0.0328,-0.156
1.054,0.0328,-0.156
1.2357,0.2301,-0.0798
1.3432,0.3024,-0.2459
1.3451,0.1403,-0.2929
1.2865,-0.0727,-0.3182
1.0598,-0.1508,-0.3124
1.0598,-0.1508,-0.3124
0.9133,-0.0883,-0.3104
0.9289,0.0035,-0.2205
0.9641,0.0718,-0.1345
0.7238,0.0133,-0.2654
0.7061,-0.0003,-0.2654
0.6358,-0.0257,-0.3124
0.6416,-0.0101,-0.2908
0.6651,0.0191,-0.326
0.6534,0.0367,-0.2948
0.6085,0.025,-0.3162
0.5655,0.0054,-0.3651
0.5518,-0.0159,-0.4042
0.5771,-0.0648,-0.4433
0.7569,-0.1351,-0.5742
0.7569,-0.1351,-0.5742
0.9953,-0.1,-0.5566
1.1478,-0.0785,-0.5293
1.2845,-0.0218,-0.5449
0.8488,0.0015,-0.6836
0.8488,0.0015,-0.6836
0.6866,0.0367,-0.75
0.8625,0.0876,-0.6778
1.7222,0.1579,-0.5332
0.9152,0.4568,-0.0877
0.8547,0.3631,-0.1483
0.5342,-0.0492,-0.1853
0.3857,-0.2406,-0.0447
1.265,-0.1293,-0.2284
1.265,-0.1293,-0.2284
1.3099,0.0231,-0.3436
1.1262,0.1226,-0.326
1.0032,0.1383,-0.3026
0.8312,-0.0413,-0.3026
0.8312,-0.0413,-0.3026
0.8253,-0.0531,-0.2987
0.798,-0.0609,-0.2303
0.8801,-0.1508,-0.3162
0.8801,-0.1508,-0.3162
0.8723,-0.1762,-0.3397
0.8703,-0.2269,-0.3436
0.7296,-0.1214,-0.3241
0.6905,-0.059,-0.285
0.6905,-0.059,-0.285
0.6905,-0.059,-0.285
0.7394,-0.0101,-0.2792
0.7648,-0.055,-0.2792
0.714,-0.1156,-0.3104
0.7745,-0.1528,-0.2929
0.7745,-0.1528,-0.2929
1.0422,-0.0883,-0.3612
1.0735,-0.1312,-0.4022
0.9231,-0.27,-0.4061
0.8019,-0.3188,-0.4471
0.7921,-0.3149,-0.369
0.7629,0.0406,-0.1893
0.925,0.2692,-0.2244
1.5014,0.3103,-0.4531
1.6089,0.3591,-0.4921
1.6793,0.3864,-0.625
1.5991,0.1324,-0.4902
1.1048,-0.0218,-0.5332
0.7413,-0.184,-0.498
0.8136,-0.0746,-0.4471
0.9504,-0.0569,-0.4862
1.0032,-0.0511,-0.5644
0.9739,-0.0101,-0.5605
0.8351,0.0797,-0.5136
0.6886,0.0543,-0.3495
0.6886,0.0543,-0.3495
0.6553,0.0152,-0.2869
0.628,-0.0003,-0.3339
0.5929,0.0289,-0.3963
0.6162,-0.0003,-0.4198
0.6437,-0.0082,-0.3768
0.6651,-0.0179,-0.3886
0.6553,-0.0257,-0.369
0.7277,0.0094,-0.4608
0.7277,0.0094,-0.4608
0.8605,-0.055,-0.2948
0.8586,0.0504,-0.2987
0.9562,0.109,-0.3495
0.9778,-0.0277,-0.41
0.8664,-0.0706,-0.371
0.8664,-0.0706,-0.371
0.9914,-0.1371,-0.3416
1.224,-0.1235,-0.3768
1.4467,-0.0159,-0.2381
1.2063,0.2145,-0.2186
1.1048,0.2106,-0.2303
1.4408,-0.0569,-0.3202
1.6108,-0.1214,-0.369
1.4252,-0.3091,-0.3397
0.9816,-0.3149,-0.4315
0.7569,-0.2797,-0.371
0.9465,-0.0746,-0.2713
1.0969,0.0015,-0.2186
1.0149,0.0876,-0.1267
0.966,0.0504,-0.1092
0.9602,0.0367,-0.1189
0.9308,-0.0413,-0.244
0.9035,-0.0687,-0.2459
0.8449,-0.0413,-0.1853
0.8586,-0.0179,-0.1932
0.9152,-0.0667,-0.2538
0.9015,-0.1273,-0.3221
