accx,accy,accz
1.0226,0.2087,0.0119
1.0501,0.2653,0.0647
1.0715,0.3063,0.0822
1.0715,0.2145,0.051
1.0324,0.1579,0.0119
0.9797,0.0992,-0.0368
0.9289,0.0406,-0.0505
0.8742,-0.0375,-0.1092
0.8625,-0.055,-0.1326
0.8097,-0.0062,-0.0994
0.8156,0.0133,-0.0681
0.8351,0.0171,-0.0447
0.8116,0.0113,-0.0075
0.8116,0.0113,-0.0075
0.8097,0.0191,-0.0095
0.8234,0.0094,-0.0036
0.8957,-0.0569,-0.0349
0.9562,-0.0804,-0.031
0.9562,-0.0804,-0.031
0.9953,-0.0492,-0.0368
1.052,-0.0238,-0.0388
1.0676,-0.0629,-0.0368
1.0911,-0.0629,-0.0544
1.0911,-0.0629,-0.0544
1.0911,-0.096,-0.1013
1.0735,-0.1235,-0.1131
1.0754,-0.1391,-0.1013
1.1224,-0.096,-0.0954
1.2552,-0.012,-0.0368
1.2552,-0.012,-0.0368
1.2885,-0.0413,-0.0817
1.2865,-0.0218,-0.0701
1.3119,0.0778,0.0803
1.3393,0.2712,0.1506
1.2357,0.3317,0.0901
1.0384,0.3103,-0.0368
0.9641,0.1871,-0.0466
0.9348,0.0445,-0.0681
0.9914,-0.014,-0.1776
0.9856,0.0035,-0.1462
0.9015,0.0543,-0.0954
0.8312,0.0621,-0.0466
0.7902,0.0485,-0.0349
0.796,0.0914,-0.0584
0.7999,0.1207,-0.0584
0.798,0.1305,-0.0661
0.7902,0.1032,-0.0877
0.7902,0.0718,-0.115
0.8293,0.0406,-0.156
0.843,0.0562,-0.1678
0.8625,0.0836,-0.1716
0.8859,0.0758,-0.1697
0.9348,0.0445,-0.2068
0.9367,0.0289,-0.2147
0.9583,0.0191,-0.2361
0.9583,0.0191,-0.2615
0.9171,0.0485,-0.2576
0.8801,0.0739,-0.2361
0.8917,0.0739,-0.2342
0.9289,0.068,-0.2576
0.9465,0.0464,-0.2694
0.9094,0.0562,-0.3202
0.9094,0.0562,-0.3202
0.9192,0.0523,-0.3319
0.9739,-0.0042,-0.3651
1.1399,-0.0746,-0.3866
1.5484,0.152,-0.2635
1.5484,0.152,-0.2635
1.7594,0.238,-0.3006
1.6441,0.236,-0.3065
1.0286,0.2087,-0.1423
0.8703,0.2458,-0.0407
0.8703,0.2458,-0.0407
0.8586,0.236,-0.0584
0.9602,0.1637,-0.0349
1.0168,0.1383,0.0119
0.9075,0.1403,0.0002
0.882,0.1344,-0.0075
0.7921,0.0876,-0.0603
0.7629,-0.0062,-0.0857
0.7745,-0.0296,-0.0994
0.7608,-0.0394,-0.0975
0.8097,-0.0336,-0.0623
0.8253,-0.012,-0.0525
0.8293,0.0094,-0.0544
0.841,0.0113,-0.0661
0.8703,-0.0218,-0.0896
0.884,-0.055,-0.1169
0.9485,-0.1235,-0.1521
0.9621,-0.1371,-0.1697
0.9778,-0.1312,-0.1697
1.009,-0.1097,-0.1502
1.0363,-0.0804,-0.1248
1.054,-0.0629,-0.1131
1.0696,-0.0746,-0.1267
1.0715,-0.0863,-0.1169
1.054,-0.0667,-0.0954
1.0579,-0.0413,-0.0798
1.1067,-0.0531,-0.0759
1.2161,-0.0746,-0.0642
1.3178,-0.0785,-0.072
1.3021,-0.0316,-0.074
1.3568,-0.0433,-0.0466
1.4252,0.0094,0.094
1.392,0.1012,0.1585
1.2513,0.2418,0.0705
1.0617,0.3024,-0.0095
0.9699,0.1813,-0.0447
0.9778,0.1617,-0.0505
1.0266,0.0582,-0.1169
0.9856,-0.0082,-0.1169
0.8625,0.1676,-0.0407
0.8625,0.1676,-0.0407
0.843,0.1891,-0.033
0.8214,0.2087,-0.0193
0.8039,0.1188,-0.0349
0.7629,0.0758,-0.0798
0.7589,0.0718,-0.1013
0.7648,0.0855,-0.1131
0.7804,0.1246,-0.1189
0.7902,0.1383,-0.1306
0.8019,0.1246,-0.1678
0.8996,0.0621,-0.197
0.8996,0.0621,-0.197
0.9075,0.0739,-0.2068
0.9367,0.0895,-0.2205
0.9778,0.0934,-0.2361
0.9211,0.0895,-0.2557
0.8723,0.0895,-0.2694
0.8449,0.1051,-0.2792
0.9015,0.0778,-0.2908
0.9445,0.0152,-0.3456
0.9445,0.0152,-0.3456
0.9641,-0.0355,-0.4179
0.966,-0.0511,-0.4413
1.0871,0.0231,-0.3436
1.6616,0.3473,-0.244
1.6616,0.3473,-0.244
1.4135,0.1344,-0.2811
1.0188,0.0445,-0.2224
0.8586,0.0054,-0.1423
1.0384,0.2048,-0.0388
1.0384,0.2048,-0.0388
1.1243,0.236,-0.0016
1.1321,0.2106,-0.0349
1.0833,0.1598,-0.0388
0.9914,0.1226,-0.0349
0.8468,0.0211,-0.0994
0.8039,-0.0355,-0.1423
0.7883,-0.0746,-0.1483
0.8078,-0.096,-0.1385
0.8078,-0.0433,-0.115
0.8058,-0.0101,-0.0975
0.8019,-0.012,-0.0603
0.7883,-0.0101,-0.0642
0.7921,-0.0082,-0.0564
0.796,-0.014,-0.0525
0.8586,-0.0511,-0.0954
0.9269,-0.0765,-0.1365
0.9816,-0.1097,-0.1483
0.9523,-0.1254,-0.1599
0.9797,-0.1117,-0.1521
0.9993,-0.1117,-0.1697
0.9953,-0.1137,-0.1716
1.0032,-0.1137,-0.158
1.0638,-0.1195,-0.1716
1.0754,-0.1254,-0.1795
1.1439,-0.141,-0.1443
1.2357,-0.1078,-0.0915
1.4115,-0.1019,-0.1033
1.4213,-0.1605,-0.1834
1.2962,-0.1918,-0.1697
1.2962,-0.1918,-0.1697
1.3725,0.1871,0.1429
1.3119,0.3298,0.1604
1.0598,0.3845,0.0451
0.8898,0.1598,-0.0368
0.8898,0.1598,-0.0368
0.9993,-0.0902,-0.1736
1.0363,-0.0687,-0.1658
0.9953,0.0543,-0.1033
0.9308,0.1403,-0.0544
0.9308,0.1403,-0.0544
0.8078,0.1109,-0.0915
0.755,0.025,-0.1287
0.7569,0.0015,-0.1541
0.7374,0.1266,-0.0975
0.7374,0.1266,-0.0975
0.7277,0.1246,-0.1092
0.7433,0.0641,-0.1716
0.7843,0.0171,-0.2361
0.8253,-0.0042,-0.2596
0.841,0.0269,-0.2459
0.8449,0.0836,-0.2303
0.8684,0.1168,-0.2381
0.9113,0.1051,-0.2948
0.9211,0.0485,-0.3572
0.9094,0.0445,-0.4257
0.9152,0.066,-0.4022
0.9719,0.0934,-0.3905
1.6245,0.2614,-0.2557
1.4096,0.3005,-0.3221
1.3353,0.2634,-0.3299
1.0892,0.1754,-0.2929
1.0266,0.0485,-0.1229
1.0032,0.0972,-0.0036
1.0032,0.0972,-0.0036
1.0617,0.0934,-0.0212
1.1087,0.0601,-0.0407
1.052,0.0113,-0.0994
0.8625,-0.0394,-0.1229
0.8625,-0.0394,-0.1229
0.8195,-0.0746,-0.1248
0.7823,-0.0921,-0.1345
0.8078,-0.0179,-0.1111
0.8527,0.0543,-0.0173
0.8527,0.0543,-0.0173
