accx,accy,accz
0.5733,-0.0648,-0.4882
0.6006,0.0348,-0.539
0.7277,0.0543,-0.5547
0.9035,0.0133,-0.5097
1.1653,0.0308,-0.5195
1.2729,0.0934,-0.6035
0.9015,0.0191,-0.6485
0.6749,-0.1332,-0.8497
0.7706,-0.1039,-0.8321
1.5815,-0.0785,-0.5195
1.2571,0.3845,-0.3612
0.5615,0.0855,-0.3886
0.5284,-0.1273,-0.1502
0.6358,-0.0727,-0.0564
1.0032,0.0562,-0.1248
1.3314,0.2262,-0.1404
1.2024,0.1989,-0.2654
0.8547,0.0328,-0.244
0.9778,0.0972,-0.3124
0.9211,0.152,-0.2263
0.9211,0.152,-0.2263
0.9075,0.1109,-0.1697
0.8664,0.0191,-0.1639
0.839,-0.0941,-0.3065
0.839,-0.0941,-0.3065
0.882,-0.1586,-0.3456
0.9308,-0.1449,-0.3397
0.8703,-0.0883,-0.3026
0.8253,-0.1,-0.3202
0.8253,-0.1,-0.3202
0.8566,-0.096,-0.3319
0.8938,-0.0746,-0.3319
0.9739,-0.0492,-0.2557
0.9934,-0.0804,-0.2166
0.9934,-0.0804,-0.2166
0.966,-0.1117,-0.2263
0.9406,-0.1058,-0.2596
1.0266,-0.0277,-0.2908
1.1653,0.0231,-0.2049
1.2494,-0.0492,-0.1678
1.2611,-0.1176,-0.2205
1.2806,-0.012,-0.2049
1.1576,0.1891,-0.1365
0.9739,0.4099,-0.203
1.0363,0.2809,-0.2694
1.183,0.0718,-0.285
1.2181,-0.0746,-0.3182
1.1693,-0.1371,-0.3456
1.0461,-0.0804,-0.3358
0.9758,-0.0159,-0.3241
0.8097,0.1188,-0.3104
0.7374,0.15,-0.2322
0.712,0.1676,-0.2322
0.6749,0.1012,-0.244
0.6514,0.0289,-0.3221
0.6964,0.0171,-0.3749
0.7238,0.0348,-0.3963
0.7296,0.0289,-0.4179
0.7179,-0.0082,-0.4061
0.6534,-0.0316,-0.4433
0.6319,-0.0023,-0.4804
0.7003,0.0485,-0.5097
0.8116,0.0523,-0.496
0.9934,0.0778,-0.5234
1.1576,0.0485,-0.5175
1.2865,0.0445,-0.5605
1.0403,0.0133,-0.6152
0.7785,-0.1156,-0.7833
1.179,-0.1722,-0.498
1.4604,0.0934,-0.5917
1.181,0.3513,-0.3944
0.7179,0.2321,-0.5586
0.6593,-0.0394,-0.0779
1.1321,0.1266,-0.1071
1.1321,0.1266,-0.1071
1.1556,0.1735,-0.1071
1.1536,0.2008,-0.2224
0.8586,-0.0609,-0.3026
