accx,accy,accz
0.9192,-0.0003,-0.2967
0.8996,0.0054,-0.285
0.9269,-0.0355,-0.2733
0.9758,-0.0902,-0.2967
0.9758,-0.0902,-0.2967
0.9972,-0.1058,-0.3593
0.9816,-0.0921,-0.3944
0.9778,-0.0648,-0.3456
0.9816,-0.0023,-0.3593
0.966,0.066,-0.3593
1.0207,0.0855,-0.2831
1.0403,0.1344,-0.3416
1.0207,0.0367,-0.3905
1.007,-0.0941,-0.4452
1.183,0.0504,0.0119
1.183,0.0504,0.0119
1.1106,0.5173,0.0216
0.9778,0.5233,-0.0544
0.8547,0.2164,-0.2166
0.8586,-0.3091,-0.4374
0.8586,-0.3091,-0.4374
0.8917,-0.1468,-0.4725
0.9758,0.0211,-0.3553
1.0247,0.109,-0.2929
0.9856,0.0778,-0.2674
0.9856,0.0778,-0.2674
0.8938,0.0191,-0.3182
0.8547,0.0171,-0.3182
0.8488,0.0367,-0.3045
0.8879,0.0445,-0.3182
0.8879,0.0445,-0.3182
0.8761,0.068,-0.3006
0.8644,0.0582,-0.2967
0.839,0.0289,-0.3065
0.8351,-0.0316,-0.3651
0.839,-0.0316,-0.3632
0.8507,-0.0413,-0.3768
0.8586,-0.0453,-0.4061
0.8586,0.0133,-0.4159
0.9094,0.0035,-0.367
0.9094,0.0035,-0.367
1.0032,0.0171,-0.3202
1.0892,-0.0569,-0.4179
1.1712,-0.352,-0.4706
1.1712,-0.352,-0.4706
1.2748,-0.3051,-0.4765
1.4194,0.109,-0.4315
1.3275,0.531,-0.2303
0.7706,0.2614,-0.2224
0.5596,0.1344,-0.2576
0.456,-0.0023,-0.2674
0.7471,-0.059,-0.2107
0.9972,0.1559,-0.0935
1.1165,0.2751,-0.0544
1.1321,0.3142,-0.0447
1.0032,0.1715,-0.1345
0.9094,0.0895,-0.1697
0.839,0.0191,-0.2498
0.841,0.0073,-0.2792
0.8527,0.0073,-0.2752
0.9836,0.0308,-0.2322
0.9895,0.0289,-0.2205
0.9641,0.0113,-0.2361
0.9348,-0.0101,-0.2557
0.9094,0.0073,-0.2792
0.9289,0.0094,-0.2889
0.9583,0.0094,-0.285
0.9562,0.0133,-0.3045
0.9192,-0.0082,-0.3045
0.884,-0.0453,-0.2908
0.8996,-0.0629,-0.2967
0.9211,-0.0785,-0.3006
0.9348,-0.0706,-0.3104
0.9953,-0.0511,-0.3124
1.0266,-0.0199,-0.326
0.9953,-0.012,-0.3749
0.9719,-0.0179,-0.3866
0.9523,-0.0159,-0.3944
0.9465,-0.0003,-0.4081
1.0247,0.1032,-0.4198
1.0403,0.0972,-0.4257
1.1067,-0.059,-0.3984
1.1458,-0.1664,-0.3514
1.1536,-0.0629,-0.0427
1.1029,0.3631,0.0861
0.9972,0.5741,-0.0134
0.8977,0.447,-0.1345
0.8527,-0.0902,-0.3476
0.8507,-0.1684,-0.4706
0.8507,-0.1684,-0.4706
0.8957,-0.1,-0.4511
