accx,accy,accz
0.9308,0.0406,-0.3612
0.9269,0.0406,-0.3572
0.9308,0.0406,-0.3553
0.9329,0.0426,-0.3572
0.9329,0.0445,-0.3572
0.9289,0.0367,-0.367
0.9289,0.0367,-0.3593
0.9289,0.0387,-0.3534
0.9348,0.0464,-0.3553
0.9269,0.0445,-0.3612
0.9269,0.0464,-0.3612
0.9269,0.0485,-0.3632
0.9308,0.0445,-0.3553
0.9308,0.0426,-0.3514
0.9269,0.0464,-0.3553
0.925,0.0485,-0.3572
0.9269,0.0504,-0.3593
0.9289,0.0445,-0.3593
0.9308,0.0485,-0.3593
0.9289,0.0445,-0.3612
0.9269,0.0504,-0.3553
0.9192,0.0426,-0.3534
0.9348,0.0426,-0.3572
0.9329,0.0464,-0.3572
0.9269,0.0464,-0.3572
0.9308,0.0464,-0.3612
0.9348,0.0445,-0.3534
0.9329,0.0426,-0.3534
0.9269,0.0464,-0.3612
0.9269,0.0445,-0.3593
0.9289,0.0426,-0.3593
0.9329,0.0445,-0.3593
0.925,0.0485,-0.3553
0.9231,0.0464,-0.3572
0.9269,0.0464,-0.3553
0.9329,0.0464,-0.3612
0.9329,0.0523,-0.3534
0.9348,0.0426,-0.3572
0.9269,0.0523,-0.3553
0.9308,0.0445,-0.3593
0.925,0.0426,-0.3572
0.925,0.0464,-0.3593
0.9308,0.0523,-0.3593
0.9289,0.0464,-0.3593
0.9269,0.0523,-0.3572
0.9231,0.0504,-0.3593
0.9308,0.0464,-0.3593
0.9308,0.0464,-0.3593
0.9269,0.0445,-0.3612
0.9231,0.0464,-0.3593
0.9289,0.0485,-0.3572
0.9308,0.0464,-0.3572
0.9308,0.0445,-0.3612
0.9308,0.0445,-0.3612
0.9269,0.0485,-0.3572
0.9289,0.0504,-0.3553
0.9329,0.0485,-0.367
0.925,0.0464,-0.3612
0.925,0.0464,-0.3612
0.9269,0.0504,-0.3572
0.9387,0.0523,-0.3553
0.9308,0.0445,-0.3572
0.9308,0.0445,-0.3572
0.9269,0.0445,-0.3632
0.9289,0.0464,-0.3534
0.9308,0.0485,-0.3612
0.9308,0.0464,-0.3593
0.9308,0.0523,-0.3593
0.925,0.0504,-0.3593
0.9269,0.0485,-0.3612
0.9231,0.0445,-0.3612
0.9289,0.0464,-0.3612
0.9308,0.0485,-0.3632
0.9308,0.0485,-0.3612
0.9289,0.0485,-0.3593
0.9289,0.0445,-0.3593
0.9289,0.0485,-0.3612
0.9269,0.0464,-0.3612
0.9269,0.0464,-0.3612
0.9231,0.0543,-0.3572
0.9308,0.0504,-0.3612
0.9329,0.0485,-0.3651
0.9308,0.0464,-0.367
0.9269,0.0464,-0.3612
0.9289,0.0464,-0.3632
0.9289,0.0464,-0.3632
0.925,0.0504,-0.3612
0.9289,0.0485,-0.3612
0.9289,0.0464,-0.3593
0.9269,0.0485,-0.3632
0.9269,0.0523,-0.3553
0.9231,0.0523,-0.3593
0.9308,0.0504,-0.3612
0.9308,0.0504,-0.3612
0.9308,0.0543,-0.3612
0.9289,0.0485,-0.3632
0.925,0.0485,-0.3632
0.9269,0.0485,-0.369
0.925,0.0406,-0.369
0.9289,0.0464,-0.3612
0.9289,0.0504,-0.3593
0.9289,0.0504,-0.3651
0.9211,0.0464,-0.3632
0.9211,0.0464,-0.3632
0.9269,0.0485,-0.3632
0.9269,0.0464,-0.3632
0.925,0.0485,-0.369
0.9308,0.0504,-0.3651
0.9231,0.0504,-0.3632
0.925,0.0523,-0.371
0.9269,0.0485,-0.3632
0.925,0.0464,-0.367
0.925,0.0464,-0.367
0.9308,0.0445,-0.3632
0.9269,0.0464,-0.367
0.9289,0.0504,-0.3651
0.9289,0.0485,-0.3651
0.9289,0.0523,-0.367
0.9269,0.0485,-0.3651
0.9269,0.0445,-0.371
0.9308,0.0504,-0.369
0.9231,0.0485,-0.3632
0.9289,0.0504,-0.367
0.9289,0.0485,-0.367
0.9231,0.0485,-0.373
0.925,0.0485,-0.367
0.925,0.0485,-0.3632
0.925,0.0485,-0.3632
0.9308,0.0485,-0.3632
0.9329,0.0464,-0.3651
0.9269,0.0485,-0.3593
